ID;Nom;Image
1;Athlétisme;athletisme.png
2;Basketball;basketball.png
3;Cyclisme;cyclisme.png
4;Equitation;equitation.png
5;Football;football.png
6;Golf;golf.png
7;Gymnastique;gymnastique.png
8;Handball;handball.png
9;Judo;judo.png
10;Karaté;karaté.png
11;Natation;natation.png
12;Pétanque;petanque.png
13;Rugby;rugby.png
14;Tennis;tennis.png
15;Tennis de table;tennis-de-table.png
16;Voile;voile.png
